"SAMPLE_ID";"Formation_name";"orig.form.nr";"form.nr";"K1";"K2";"K.mid";"Lat";"Long";"Data_collection_1";"Data_collection_2";"Total";"num.with.colonies";"std.weight";"std.area";"Species_Aimulosia_marsupium";"Species_Antarctothoa_tongima";"Species_Arachnopusia_unicornis";"Species_Bitectipora_rostrata";"Species_Calloporina_angustipora";"Species_Escharella_spinosissima";"Species_Escharoides_angela";"Species_Escharoides_excavata";"Species_Exochella_armata";"Species_Exochella_conjuncta";"Species_Fenestrulina_reticulata";"Species_Figularia_carinata";"Species_Hippomenella_vellicata";"Species_Microporella_aff_speculum";"Species_Microporella_agonistes";"Species_Microporella_discors";"Species_Microporella_intermedia";"Species_Microporella_rusti";"Species_Microporella_speculum";"Species_Prenantia_firmata";"Species_Steginoporella_magnifica";"Species_Superspecies";"Unidentified_Microporella";"Genus_Aimulosia";"Genus_Antarctothoa";"Genus_Arachnopusia";"Genus_Bitectipora";"Genus_Calloporina";"Genus_Escharella";"Genus_Escharoides";"Genus_Exochella";"Genus_Fenestrulina";"Genus_Figularia";"Genus_Hippomenella";"Genus_Microporella";"Genus_Prenantia";"Genus_Steginoporella"
"61";"Lower Kai-iwi Shellbed";23;3;0.93;0.97;0.95;39.8827166666667;174.891916666667;"MHR";"EDM";50;0;20.4840602191596;31.720558037923;3;92;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;67;3;3;92;0;0;0;0;0;0;0;0;0;7;0;0
"65";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.85805;174.78435;"MHR";"EDM";30;0;190.397350993378;117.007381894382;3;3;0;0;1;2;0;0;0;3;0;0;0;0;4;0;0;0;0;0;1;23;0;3;3;0;0;1;2;0;3;0;0;0;4;0;1
"66";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8580166666667;174.784766666667;"MHR";"EDM";30;0;45.4626812242706;41.9334248720023;6;16;1;0;4;5;0;0;0;1;0;0;0;0;3;0;0;0;16;0;0;141;2;6;16;1;0;4;5;0;1;0;0;0;21;0;0
"67";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8577333333333;174.786383333333;"MHR";"EDM";30;0;71.8012969668599;56.3820240947283;7;11;0;0;10;0;0;17;0;0;1;0;6;0;33;0;0;0;0;0;3;137;2;7;11;0;0;10;0;17;0;1;0;6;35;0;3
"68";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8579333333333;174.790966666667;"MHR";"EDM";30;0;219.88544836227;109.50643983241;3;0;1;0;1;10;0;0;0;3;0;0;0;0;8;0;0;0;0;0;4;103;5;3;0;1;0;1;10;0;3;0;0;0;13;0;4
"69";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8579;174.790333333333;"MHR";"EDM";30;0;30.4277787721496;36.1951801438214;1;0;2;0;0;2;0;6;0;1;0;0;2;0;0;0;0;0;0;0;5;69;1;1;0;2;0;0;2;6;1;0;0;2;1;0;5
"7";"Tainui Shellbed";7;7;0.43;0.51;0.47;39.9176833333333;174.955783333333;"MHR";"EDM";50;0;37.5126782411551;42.1153251600034;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"70";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8577666666667;174.7893;"MHR";"EDM";30;0;70.4121813393337;59.1251748915479;15;0;1;0;12;0;0;29;0;0;0;0;2;0;30;0;0;0;0;0;1;144;0;15;0;1;0;12;0;29;0;0;0;2;30;0;1
"71";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8577;174.789133333333;"MHR";"EDM";30;0;125.73832110256;72.9189430220431;0;16;2;0;23;3;3;8;0;0;3;0;13;0;11;0;0;0;0;0;1;198;4;0;16;2;0;23;3;11;0;3;0;13;15;0;1
"72";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8576166666667;174.788483333333;"MHR";"EDM";30;0;105.333810631824;78.7417801530954;10;15;2;0;22;1;0;2;0;0;7;0;1;0;6;0;0;0;0;0;1;160;1;10;15;2;0;22;1;2;0;7;0;1;7;0;1
